sector,frequency,year,annual_return,trading_days
Auto,monthly,2017,0.5092765083397062,248
Auto,monthly,2018,-0.17582291656717175,246
Auto,monthly,2019,-0.041969652099779986,245
Auto,monthly,2020,0.2351240443062994,252
Auto,monthly,2021,0.2525962645759161,248
Auto,monthly,2022,0.1079645002279419,248
Auto,monthly,2023,0.435465914036282,246
Auto,monthly,2024,0.08783602264766466,249
Auto,monthly,2025,0.30592605542303364,249
Auto,monthly,2026,-0.004303588910660183,11
Auto,quarterly,2017,0.6143596006790737,248
Auto,quarterly,2018,-0.18796217314696761,246
Auto,quarterly,2019,-0.05642445949940689,245
Auto,quarterly,2020,0.31113928232205423,252
Auto,quarterly,2021,0.19292795586739753,248
Auto,quarterly,2022,0.11439462508415321,248
Auto,quarterly,2023,0.4338187790725203,246
Auto,quarterly,2024,0.1414730549742158,249
Auto,quarterly,2025,0.29987871768642615,249
Auto,quarterly,2026,-0.004303588910660183,11
Auto,half_yearly,2017,0.652707332423369,248
Auto,half_yearly,2018,-0.20518947101958107,246
Auto,half_yearly,2019,-0.10744910111181749,245
Auto,half_yearly,2020,0.10179253544424971,252
Auto,half_yearly,2021,0.2868313265415492,248
Auto,half_yearly,2022,0.10257250885618974,248
Auto,half_yearly,2023,0.43118850414731824,246
Auto,half_yearly,2024,0.12958950767879318,249
Auto,half_yearly,2025,0.27080739532345244,249
Auto,half_yearly,2026,-0.011650744674564839,11
Auto,yearly,2017,0.643172877680317,248
Auto,yearly,2018,-0.1574900206626263,246
Auto,yearly,2019,-0.031650442530453016,245
Auto,yearly,2020,0.20654241970635634,252
Auto,yearly,2021,0.19742757581477144,248
Auto,yearly,2022,0.10200820275573785,248
Auto,yearly,2023,0.38844823656886684,246
Auto,yearly,2024,0.11559785842362436,249
Auto,yearly,2025,0.19742542084261805,249
Auto,yearly,2026,-0.004303588910660183,11
Banking,monthly,2018,-0.04300778675792172,127
Banking,monthly,2019,0.16880682911965517,245
Banking,monthly,2020,-0.07405663229262704,252
Banking,monthly,2021,0.08754556928192936,248
